input,expected_output
"{""user_context"": ""Fill out the application form automatically with my information"", ""context_metadata"": {""urls"": [], ""tags"": [""application"", ""automatically""]}, ""caller"": null}","{""task_type"": ""FILL_FORM_AUTOMATICALLY"", ""confidence"": 0.91, ""reasoning"": ""Request involves auto-populating form fields with user information.""}"
"{""user_context"": ""Record the main takeaways from the conference presentation"", ""context_metadata"": {""urls"": [""https://conference.example.com/presentation""], ""tags"": [""conference"", ""presentation""]}, ""caller"": null}","{""task_type"": ""NOTE_TAKING"", ""confidence"": 0.88, ""reasoning"": ""Recording takeaways from a presentation requires note-taking capabilities.""}"
"{""user_context"": ""Create reminders about important tasks"", ""context_metadata"": {""urls"": [], ""tags"": [""about"", ""important tasks""]}, ""caller"": null}","{""task_type"": ""CREATE_TODO"", ""confidence"": 0.88, ""reasoning"": ""User explicitly requests creating a todo list or adding tasks.""}"
"{""user_context"": ""Draft an email to my manager explaining the plan"", ""context_metadata"": {""urls"": [], ""tags"": [""my manager"", ""the plan""]}, ""caller"": null}","{""task_type"": ""DRAFT_EMAIL"", ""confidence"": 0.93, ""reasoning"": ""User explicitly requests drafting or writing an email.""}"
"{""user_context"": ""Compare laptops costs from different sellers"", ""context_metadata"": {""urls"": [], ""tags"": [""laptops"", ""sellers""]}, ""caller"": null}","{""task_type"": ""COMPARE_SHOPPING_PRICES"", ""confidence"": 0.94, ""reasoning"": ""Request involves comparing product prices from multiple sources.""}"
"{""user_context"": ""Draft a message to the stakeholders regarding next steps"", ""context_metadata"": {""urls"": [], ""tags"": [""the stakeholders"", ""next steps""]}, ""caller"": null}","{""task_type"": ""DRAFT_EMAIL"", ""confidence"": 0.88, ""reasoning"": ""Task requires email composition functionality.""}"
"{""user_context"": ""Document the key points about technical details"", ""context_metadata"": {""urls"": [], ""tags"": [""document"", ""technical details""]}, ""caller"": null}","{""task_type"": ""NOTE_TAKING"", ""confidence"": 0.92, ""reasoning"": ""User explicitly requests to take notes or document information, which maps to NOTE_TAKING task type.""}"
"{""user_context"": ""Create a visual process diagram for {topic}"", ""context_metadata"": {""urls"": [""https://example.com/products""], ""tags"": [""visual"", ""process""]}, ""caller"": null}","{""task_type"": ""CREATE_DIAGRAMS"", ""confidence"": 0.95, ""reasoning"": ""Request involves creating visual diagrams or flowcharts.""}"
"{""user_context"": ""Generate a map showing retail stores and their locations"", ""context_metadata"": {""urls"": [], ""tags"": [""showing"", ""retail stores""]}, ""caller"": null}","{""task_type"": ""CREATE_LOCATION_MAP"", ""confidence"": 0.85, ""reasoning"": ""Task requires location mapping functionality.""}"
"{""user_context"": ""Write an email to my manager discussing status report"", ""context_metadata"": {""urls"": [], ""tags"": [""my manager"", ""status report""]}, ""caller"": null}","{""task_type"": ""DRAFT_EMAIL"", ""confidence"": 0.93, ""reasoning"": ""User explicitly requests drafting or writing an email.""}"
"{""user_context"": ""Automatically download performance reports from the dashboard"", ""context_metadata"": {""urls"": [""https://app.example.com/portal""], ""tags"": [""performance"", ""the dashboard""]}, ""caller"": null}","{""task_type"": ""AUTO_DOWNLOAD_REPORTS"", ""confidence"": 0.86, ""reasoning"": ""User wants to automatically download reports, matching AUTO_DOWNLOAD_REPORTS task type.""}"
"{""user_context"": ""Plot a map of customer locations in the country"", ""context_metadata"": {""urls"": [], ""tags"": [""plot"", ""the country""]}, ""caller"": null}","{""task_type"": ""CREATE_LOCATION_MAP"", ""confidence"": 0.87, ""reasoning"": ""User wants to create a map showing locations, matching CREATE_LOCATION_MAP task type.""}"
"{""user_context"": ""Create a process diagram showing the system"", ""context_metadata"": {""urls"": [""https://www.admin.com/reports""], ""tags"": [""process"", ""the system""]}, ""caller"": null}","{""task_type"": ""CREATE_DIAGRAMS"", ""confidence"": 0.9, ""reasoning"": ""User wants to create a diagram, which directly maps to CREATE_DIAGRAMS task type.""}"
"{""user_context"": ""Save this information to my information repository"", ""context_metadata"": {""urls"": [""https://www.admin.com/dashboard""], ""tags"": [""information"", ""this information""]}, ""caller"": null}","{""task_type"": ""ADD_TO_KNOWLEDGE_BASE"", ""confidence"": 0.95, ""reasoning"": ""Task requires storing content in a knowledge repository or management system.""}"
"{""user_context"": ""Auto-populate the contact form on this website"", ""context_metadata"": {""urls"": [], ""tags"": [""contact"", ""this website""]}, ""caller"": null}","{""task_type"": ""FILL_FORM_AUTOMATICALLY"", ""confidence"": 0.94, ""reasoning"": ""Request involves auto-populating form fields with user information.""}"
"{""user_context"": ""Schedule deadline reminder for March 15th in my calendar"", ""context_metadata"": {""urls"": [], ""tags"": [""deadline reminder"", ""March 15th""]}, ""caller"": null}","{""task_type"": ""CREATE_CALENDAR_EVENT"", ""confidence"": 0.88, ""reasoning"": ""User explicitly requests creating calendar entries or reminders.""}"
"{""user_context"": ""Auto-populate job application form fields with my data"", ""context_metadata"": {""urls"": [""https://www.api.com/dashboard""], ""tags"": [""job application"", ""fields""]}, ""caller"": null}","{""task_type"": ""FILL_FORM_AUTOMATICALLY"", ""confidence"": 0.88, ""reasoning"": ""User explicitly requests automatic form filling functionality.""}"
"{""user_context"": ""Save this link to my knowledge repository"", ""context_metadata"": {""urls"": [], ""tags"": [""save"", ""this link""]}, ""caller"": null}","{""task_type"": ""ADD_TO_KNOWLEDGE_BASE"", ""confidence"": 0.85, ""reasoning"": ""User explicitly mentions adding to knowledge base or archiving for reference.""}"
"{""user_context"": ""Auto-fill the contact form with my profile information"", ""context_metadata"": {""urls"": [], ""tags"": [""contact"", ""profile""]}, ""caller"": null}","{""task_type"": ""FILL_FORM_AUTOMATICALLY"", ""confidence"": 0.93, ""reasoning"": ""Task requires automatically completing form fields.""}"
"{""user_context"": ""Create a calendar reminder for deadline reminder on March 15th"", ""context_metadata"": {""urls"": [], ""tags"": [""deadline reminder"", ""March 15th""]}, ""caller"": null}","{""task_type"": ""CREATE_CALENDAR_EVENT"", ""confidence"": 0.92, ""reasoning"": ""User wants to create a calendar event, matching CREATE_CALENDAR_EVENT task type.""}"
"{""user_context"": ""Generate a map showing our offices and their locations"", ""context_metadata"": {""urls"": [], ""tags"": [""showing"", ""our offices""]}, ""caller"": null}","{""task_type"": ""CREATE_LOCATION_MAP"", ""confidence"": 0.89, ""reasoning"": ""Request involves creating geographic visualizations or location maps.""}"
"{""user_context"": ""Get all data from the product table on the dashboard"", ""context_metadata"": {""urls"": [], ""tags"": [""product"", ""the dashboard""]}, ""caller"": null}","{""task_type"": ""EXTRACT_DATA_TABLE"", ""confidence"": 0.88, ""reasoning"": ""User wants to capture or pull table information, indicating table extraction functionality.""}"
"{""user_context"": ""Add todo items for the migration"", ""context_metadata"": {""urls"": [], ""tags"": [""items"", ""the migration""]}, ""caller"": null}","{""task_type"": ""CREATE_TODO"", ""confidence"": 0.93, ""reasoning"": ""User wants to create todo items or a task list, which matches CREATE_TODO task type.""}"
"{""user_context"": ""Add tasks for completing the quarterly review"", ""context_metadata"": {""urls"": [], ""tags"": [""review"", ""quarterly""]}, ""caller"": null}","{""task_type"": ""CREATE_TODO"", ""confidence"": 0.92, ""reasoning"": ""Adding tasks indicates creating todo items for task management.""}"
"{""user_context"": ""Create a visual sequence diagram for {topic}"", ""context_metadata"": {""urls"": [], ""tags"": [""visual"", ""sequence""]}, ""caller"": null}","{""task_type"": ""CREATE_DIAGRAMS"", ""confidence"": 0.89, ""reasoning"": ""Request involves creating visual diagrams or flowcharts.""}"
"{""user_context"": ""Document the discussion about the meeting"", ""context_metadata"": {""urls"": [], ""tags"": [""discussion"", ""the meeting""]}, ""caller"": null}","{""task_type"": ""NOTE_TAKING"", ""confidence"": 0.87, ""reasoning"": ""Task requires capturing and storing notes or documentation.""}"
"{""user_context"": ""Add this article to my collection of knowledge"", ""context_metadata"": {""urls"": [""https://www.api.com/portal""], ""tags"": [""collection"", ""this article""]}, ""caller"": null}","{""task_type"": ""ADD_TO_KNOWLEDGE_BASE"", ""confidence"": 0.86, ""reasoning"": ""User explicitly mentions adding to knowledge base or archiving for reference.""}"
"{""user_context"": ""Compare laptops costs from different sellers"", ""context_metadata"": {""urls"": [], ""tags"": [""laptops"", ""sellers""]}, ""caller"": null}","{""task_type"": ""COMPARE_SHOPPING_PRICES"", ""confidence"": 0.93, ""reasoning"": ""Task requires comparing prices across different retailers or vendors.""}"
"{""user_context"": ""Compare cameras costs from different sellers"", ""context_metadata"": {""urls"": [""https://example.com/dashboard""], ""tags"": [""cameras"", ""sellers""]}, ""caller"": null}","{""task_type"": ""COMPARE_SHOPPING_PRICES"", ""confidence"": 0.88, ""reasoning"": ""Task requires comparing prices across different retailers or vendors.""}"
"{""user_context"": ""Draft an email to the client explaining the results"", ""context_metadata"": {""urls"": [""https://example.com/dashboard""], ""tags"": [""the client"", ""the results""]}, ""caller"": null}","{""task_type"": ""DRAFT_EMAIL"", ""confidence"": 0.86, ""reasoning"": ""User explicitly requests drafting or writing an email.""}"
"{""user_context"": ""Add client call to my calendar for tomorrow"", ""context_metadata"": {""urls"": [""https://example.com/admin""], ""tags"": [""client call"", ""tomorrow""]}, ""caller"": null}","{""task_type"": ""CREATE_CALENDAR_EVENT"", ""confidence"": 0.88, ""reasoning"": ""Task requires calendar event creation functionality.""}"
"{""user_context"": ""Fill in the survey form with my details automatically"", ""context_metadata"": {""urls"": [""https://dashboard.example.com/docs""], ""tags"": [""survey"", ""details""]}, ""caller"": null}","{""task_type"": ""FILL_FORM_AUTOMATICALLY"", ""confidence"": 0.92, ""reasoning"": ""User wants to automatically fill out a form, matching FILL_FORM_AUTOMATICALLY task type.""}"
"{""user_context"": ""Write an email to the stakeholders regarding next steps"", ""context_metadata"": {""urls"": [], ""tags"": [""the stakeholders"", ""next steps""]}, ""caller"": null}","{""task_type"": ""DRAFT_EMAIL"", ""confidence"": 0.86, ""reasoning"": ""User wants to draft or compose an email, matching DRAFT_EMAIL task type.""}"
"{""user_context"": ""Build an Excel file containing product data"", ""context_metadata"": {""urls"": [], ""tags"": [""excel"", ""product""]}, ""caller"": null}","{""task_type"": ""EXTRACT_DATA_TO_SHEET"", ""confidence"": 0.94, ""reasoning"": ""User explicitly mentions creating a spreadsheet or organizing data into tabular format.""}"
"{""user_context"": ""Create reminders about upcoming deadlines"", ""context_metadata"": {""urls"": [""https://example.com/api""], ""tags"": [""about"", ""upcoming deadlines""]}, ""caller"": null}","{""task_type"": ""CREATE_TODO"", ""confidence"": 0.87, ""reasoning"": ""Task requires creating todo items or task management entries.""}"
"{""user_context"": ""Make a checklist for website redesign"", ""context_metadata"": {""urls"": [], ""tags"": [""checklist"", ""website redesign""]}, ""caller"": null}","{""task_type"": ""CREATE_TODO"", ""confidence"": 0.94, ""reasoning"": ""Request involves creating tasks, reminders, or checklist items.""}"
"{""user_context"": ""Get monthly reports downloaded automatically"", ""context_metadata"": {""urls"": [], ""tags"": [""monthly"", ""automatically""]}, ""caller"": null}","{""task_type"": ""AUTO_DOWNLOAD_REPORTS"", ""confidence"": 0.94, ""reasoning"": ""Task requires automated report downloading functionality.""}"
"{""user_context"": ""Plot a map of customer locations in the country"", ""context_metadata"": {""urls"": [], ""tags"": [""plot"", ""the country""]}, ""caller"": null}","{""task_type"": ""CREATE_LOCATION_MAP"", ""confidence"": 0.9, ""reasoning"": ""Task requires location mapping functionality.""}"
"{""user_context"": ""Make a CSV file with product information"", ""context_metadata"": {""urls"": [], ""tags"": [""csv"", ""product""]}, ""caller"": null}","{""task_type"": ""EXTRACT_DATA_TO_SHEET"", ""confidence"": 0.95, ""reasoning"": ""Task involves data extraction and organization into spreadsheet format.""}"
"{""user_context"": ""Set up automated download of performance reports"", ""context_metadata"": {""urls"": [""https://example.com/api""], ""tags"": [""performance"", ""automated""]}, ""caller"": null}","{""task_type"": ""AUTO_DOWNLOAD_REPORTS"", ""confidence"": 0.88, ""reasoning"": ""Task requires automated report downloading functionality.""}"
"{""user_context"": ""Save notes about the main ideas discussed in the call"", ""context_metadata"": {""urls"": [""https://www.api.com/portal""], ""tags"": [""save"", ""the main ideas""]}, ""caller"": null}","{""task_type"": ""NOTE_TAKING"", ""confidence"": 0.85, ""reasoning"": ""User wants to save notes or document key points, indicating note-taking functionality.""}"
"{""user_context"": ""Draft an email to the team explaining the progress"", ""context_metadata"": {""urls"": [""https://example.com/admin""], ""tags"": [""the team"", ""the progress""]}, ""caller"": null}","{""task_type"": ""DRAFT_EMAIL"", ""confidence"": 0.92, ""reasoning"": ""Request involves creating email content or messages.""}"
"{""user_context"": ""Export the sales data from the dashboard into a Google Sheets file"", ""context_metadata"": {""urls"": [""https://dashboard.example.com/sales""], ""tags"": [""sales"", ""export""]}, ""caller"": null}","{""task_type"": ""EXTRACT_DATA_TO_SHEET"", ""confidence"": 0.93, ""reasoning"": ""Exporting data from a dashboard into a Google Sheets file is a clear example of extracting data to a sheet format.""}"
"{""user_context"": ""Add this article about machine learning best practices to my knowledge base"", ""context_metadata"": {""urls"": [""https://example.com/ml-best-practices""], ""tags"": [""machine-learning"", ""article""]}, ""caller"": null}","{""task_type"": ""ADD_TO_KNOWLEDGE_BASE"", ""confidence"": 0.95, ""reasoning"": ""User explicitly wants to add an article to their knowledge base, which directly matches the ADD_TO_KNOWLEDGE_BASE task type.""}"
"{""user_context"": ""Add this guide to my learning database"", ""context_metadata"": {""urls"": [""https://example.com/products""], ""tags"": [""learning"", ""this guide""]}, ""caller"": null}","{""task_type"": ""ADD_TO_KNOWLEDGE_BASE"", ""confidence"": 0.93, ""reasoning"": ""Task requires storing content in a knowledge repository or management system.""}"
"{""user_context"": ""Check laptops prices across various online stores"", ""context_metadata"": {""urls"": [], ""tags"": [""laptops"", ""online""]}, ""caller"": null}","{""task_type"": ""COMPARE_SHOPPING_PRICES"", ""confidence"": 0.87, ""reasoning"": ""Request involves comparing product prices from multiple sources.""}"
"{""user_context"": ""Draw a architecture diagram for planning"", ""context_metadata"": {""urls"": [""https://www.dashboard.com/products""], ""tags"": [""architecture"", ""planning""]}, ""caller"": null}","{""task_type"": ""CREATE_DIAGRAMS"", ""confidence"": 0.92, ""reasoning"": ""User wants to create a diagram, which directly maps to CREATE_DIAGRAMS task type.""}"
"{""user_context"": ""Capture the sales table from the dashboard"", ""context_metadata"": {""urls"": [], ""tags"": [""sales"", ""the dashboard""]}, ""caller"": null}","{""task_type"": ""EXTRACT_DATA_TABLE"", ""confidence"": 0.88, ""reasoning"": ""Task requires extracting table data from a specified source.""}"
"{""user_context"": ""Make a checklist for website redesign"", ""context_metadata"": {""urls"": [], ""tags"": [""checklist"", ""website redesign""]}, ""caller"": null}","{""task_type"": ""CREATE_TODO"", ""confidence"": 0.86, ""reasoning"": ""Task requires creating todo items or task management entries.""}"
"{""user_context"": ""Download monthly reports automatically from the portal"", ""context_metadata"": {""urls"": [], ""tags"": [""monthly"", ""the portal""]}, ""caller"": null}","{""task_type"": ""AUTO_DOWNLOAD_REPORTS"", ""confidence"": 0.94, ""reasoning"": ""User explicitly requests automatic report downloads.""}"
"{""user_context"": ""Draft an email to my manager about status report"", ""context_metadata"": {""urls"": [], ""tags"": [""my manager"", ""status report""]}, ""caller"": null}","{""task_type"": ""DRAFT_EMAIL"", ""confidence"": 0.88, ""reasoning"": ""Task requires email composition functionality.""}"
"{""user_context"": ""Build a map displaying office locations"", ""context_metadata"": {""urls"": [""https://example.com/products""], ""tags"": [""displaying"", ""office locations""]}, ""caller"": null}","{""task_type"": ""CREATE_LOCATION_MAP"", ""confidence"": 0.94, ""reasoning"": ""User explicitly requests creating a map with location data.""}"
"{""user_context"": ""Get sales reports auto-downloaded from the dashboard"", ""context_metadata"": {""urls"": [], ""tags"": [""sales"", ""the dashboard""]}, ""caller"": null}","{""task_type"": ""AUTO_DOWNLOAD_REPORTS"", ""confidence"": 0.86, ""reasoning"": ""User explicitly requests automatic report downloads.""}"
"{""user_context"": ""Export database data into a spreadsheet format"", ""context_metadata"": {""urls"": [], ""tags"": [""export"", ""database""]}, ""caller"": null}","{""task_type"": ""EXTRACT_DATA_TO_SHEET"", ""confidence"": 0.94, ""reasoning"": ""User explicitly mentions creating a spreadsheet or organizing data into tabular format.""}"
"{""user_context"": ""Archive this resource for future reference"", ""context_metadata"": {""urls"": [""https://admin.example.com/admin""], ""tags"": [""archive"", ""this resource""]}, ""caller"": null}","{""task_type"": ""ADD_TO_KNOWLEDGE_BASE"", ""confidence"": 0.94, ""reasoning"": ""User wants to add content to a knowledge base or repository, matching ADD_TO_KNOWLEDGE_BASE task type.""}"
"{""user_context"": ""Compose an email to my manager concerning status report"", ""context_metadata"": {""urls"": [], ""tags"": [""my manager"", ""status report""]}, ""caller"": null}","{""task_type"": ""DRAFT_EMAIL"", ""confidence"": 0.88, ""reasoning"": ""Request involves creating email content or messages.""}"
"{""user_context"": ""Add deadline reminder to my calendar for March 15th"", ""context_metadata"": {""urls"": [], ""tags"": [""deadline reminder"", ""March 15th""]}, ""caller"": null}","{""task_type"": ""CREATE_CALENDAR_EVENT"", ""confidence"": 0.87, ""reasoning"": ""User explicitly requests creating calendar entries or reminders.""}"
"{""user_context"": ""Compare prices of laptops from different vendors"", ""context_metadata"": {""urls"": [], ""tags"": [""laptops"", ""vendors""]}, ""caller"": null}","{""task_type"": ""COMPARE_SHOPPING_PRICES"", ""confidence"": 0.92, ""reasoning"": ""Request involves comparing product prices from multiple sources.""}"
"{""user_context"": ""Block time in my calendar for team meeting on next Friday"", ""context_metadata"": {""urls"": [], ""tags"": [""team meeting"", ""next Friday""]}, ""caller"": null}","{""task_type"": ""CREATE_CALENDAR_EVENT"", ""confidence"": 0.93, ""reasoning"": ""User explicitly requests creating calendar entries or reminders.""}"
"{""user_context"": ""Pull out the table showing inventory levels from the portal"", ""context_metadata"": {""urls"": [], ""tags"": [""showing"", ""inventory levels""]}, ""caller"": null}","{""task_type"": ""EXTRACT_DATA_TABLE"", ""confidence"": 0.93, ""reasoning"": ""User explicitly wants to extract table data from a source, matching EXTRACT_DATA_TABLE task type.""}"
"{""user_context"": ""Fill the survey form automatically"", ""context_metadata"": {""urls"": [], ""tags"": [""survey"", ""automatically""]}, ""caller"": null}","{""task_type"": ""FILL_FORM_AUTOMATICALLY"", ""confidence"": 0.85, ""reasoning"": ""User explicitly requests automatic form filling functionality.""}"
"{""user_context"": ""Block calendar time for client call on tomorrow"", ""context_metadata"": {""urls"": [""https://app.example.com/admin""], ""tags"": [""client call"", ""tomorrow""]}, ""caller"": null}","{""task_type"": ""CREATE_CALENDAR_EVENT"", ""confidence"": 0.93, ""reasoning"": ""User wants to create a calendar event, matching CREATE_CALENDAR_EVENT task type.""}"
"{""user_context"": ""Draft a message to the team regarding project status"", ""context_metadata"": {""urls"": [], ""tags"": [""the team"", ""project status""]}, ""caller"": null}","{""task_type"": ""DRAFT_EMAIL"", ""confidence"": 0.87, ""reasoning"": ""User explicitly requests drafting or writing an email.""}"
"{""user_context"": ""Generate a location map for our offices"", ""context_metadata"": {""urls"": [""https://www.admin.com/admin""], ""tags"": [""location"", ""our offices""]}, ""caller"": null}","{""task_type"": ""CREATE_LOCATION_MAP"", ""confidence"": 0.88, ""reasoning"": ""Task requires location mapping functionality.""}"
"{""user_context"": ""Find the best deal on tablets by comparing prices"", ""context_metadata"": {""urls"": [], ""tags"": [""deal"", ""tablets""]}, ""caller"": null}","{""task_type"": ""COMPARE_SHOPPING_PRICES"", ""confidence"": 0.92, ""reasoning"": ""User explicitly wants price comparison functionality.""}"
"{""user_context"": ""Write an email to the client discussing meeting summary"", ""context_metadata"": {""urls"": [""https://dashboard.example.com/admin""], ""tags"": [""the client"", ""meeting summary""]}, ""caller"": null}","{""task_type"": ""DRAFT_EMAIL"", ""confidence"": 0.9, ""reasoning"": ""Task requires email composition functionality.""}"
"{""user_context"": ""Complete the job application form automatically"", ""context_metadata"": {""urls"": [""https://www.portal.com/docs""], ""tags"": [""job application"", ""automatically""]}, ""caller"": null}","{""task_type"": ""FILL_FORM_AUTOMATICALLY"", ""confidence"": 0.88, ""reasoning"": ""Task requires automatically completing form fields.""}"
"{""user_context"": ""Write down the main takeaways from the presentation"", ""context_metadata"": {""urls"": [], ""tags"": [""takeaways"", ""the presentation""]}, ""caller"": null}","{""task_type"": ""NOTE_TAKING"", ""confidence"": 0.92, ""reasoning"": ""Request involves capturing, recording, or documenting information from a source.""}"
"{""user_context"": ""Make a network diagram illustrating the flow"", ""context_metadata"": {""urls"": [""https://example.com/api""], ""tags"": [""network"", ""the flow""]}, ""caller"": null}","{""task_type"": ""CREATE_DIAGRAMS"", ""confidence"": 0.91, ""reasoning"": ""User explicitly mentions creating or drawing a diagram.""}"
"{""user_context"": ""Auto-populate application form fields with my data"", ""context_metadata"": {""urls"": [], ""tags"": [""application"", ""fields""]}, ""caller"": null}","{""task_type"": ""FILL_FORM_AUTOMATICALLY"", ""confidence"": 0.9, ""reasoning"": ""Task requires automatically completing form fields.""}"
"{""user_context"": ""Check which website has the lowest price for tablets"", ""context_metadata"": {""urls"": [], ""tags"": [""lowest"", ""tablets""]}, ""caller"": null}","{""task_type"": ""COMPARE_SHOPPING_PRICES"", ""confidence"": 0.89, ""reasoning"": ""Request involves comparing product prices from multiple sources.""}"
"{""user_context"": ""Create tasks related to project tasks"", ""context_metadata"": {""urls"": [], ""tags"": [""related"", ""project tasks""]}, ""caller"": null}","{""task_type"": ""CREATE_TODO"", ""confidence"": 0.89, ""reasoning"": ""User explicitly requests creating a todo list or adding tasks.""}"
"{""user_context"": ""Schedule team meeting for next Friday in my calendar"", ""context_metadata"": {""urls"": [], ""tags"": [""team meeting"", ""next Friday""]}, ""caller"": null}","{""task_type"": ""CREATE_CALENDAR_EVENT"", ""confidence"": 0.9, ""reasoning"": ""User explicitly requests creating calendar entries or reminders.""}"
"{""user_context"": ""Add team meeting to calendar for next Friday"", ""context_metadata"": {""urls"": [""https://example.com/admin""], ""tags"": [""team meeting"", ""next Friday""]}, ""caller"": null}","{""task_type"": ""CREATE_CALENDAR_EVENT"", ""confidence"": 0.88, ""reasoning"": ""User explicitly requests creating calendar entries or reminders.""}"
"{""user_context"": ""Draw a sequence diagram representing the process"", ""context_metadata"": {""urls"": [], ""tags"": [""sequence"", ""the process""]}, ""caller"": null}","{""task_type"": ""CREATE_DIAGRAMS"", ""confidence"": 0.86, ""reasoning"": ""Task requires diagram creation capabilities.""}"
